name,unit,date,value,desc,doc
C.03,20,05/01/2013,75.9,Clothing and footware,
C.03,20,06/01/2013,76.1,Clothing and footware,
C.03,20,07/01/2013,76.6,Clothing and footware,
C.03,20,08/01/2013,77.3,Clothing and footware,
C.03,20,09/01/2013,77.6,Clothing and footware,
C.03,20,10/01/2013,78.3,Clothing and footware,
C.03,20,11/01/2013,78.5,Clothing and footware,
C.03,20,12/01/2013,78.7,Clothing and footware,
C.03,20,01/01/2014,78.9,Clothing and footware,
C.03,20,02/01/2014,79.2,Clothing and footware,
C.03,20,03/01/2014,81.3,Clothing and footware,
C.03,20,04/01/2014,81.5,Clothing and footware,
C.03,20,05/01/2014,81.6,Clothing and footware,
C.03,20,06/01/2014,81.8,Clothing and footware,
C.03,20,07/01/2014,82.1,Clothing and footware,
C.03,20,08/01/2014,82.7,Clothing and footware,
C.03,20,09/01/2014,83.5,Clothing and footware,
C.03,20,10/01/2014,84.5,Clothing and footware,
C.03,20,11/01/2014,85.2,Clothing and footware,
C.03,20,12/01/2014,85.7,Clothing and footware,
C.03,20,01/01/2015,86.4,Clothing and footware,
C.03,20,02/01/2015,87.6,Clothing and footware,
C.03,20,03/01/2015,87.9,Clothing and footware,
C.03,20,04/01/2015,88.0,Clothing and footware,
C.03,20,05/01/2015,88.1,Clothing and footware,
C.03,20,06/01/2015,88.7,Clothing and footware,
C.03,20,07/01/2015,88.6,Clothing and footware,
C.03,20,08/01/2015,88.6,Clothing and footware,
C.03,20,09/01/2015,89.1,Clothing and footware,
C.03,20,10/01/2015,90.4,Clothing and footware,
C.03,20,11/01/2015,90.7,Clothing and footware,
C.03,20,12/01/2015,90.6,Clothing and footware,
C.03,20,01/01/2016,90.3,Clothing and footware,
C.03,20,02/01/2016,91.9,Clothing and footware,
C.03,20,03/01/2016,92.9,Clothing and footware,
C.03,20,04/01/2016,92.8,Clothing and footware,
C.03,20,05/01/2016,93.3,Clothing and footware,
C.03,20,06/01/2016,93.7,Clothing and footware,
